,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
139,"Then, Joseph and Richard had a lot of fun at the office. Joseph gave a snack to","Then, Joseph and Richard had a lot of fun at the office. Nicholas gave a snack to","Then, Joseph and Richard had a lot of fun at the office. Richard gave a snack to",6219,7212
364,"Then, Ryan and Danielle were working at the garden. Ryan decided to give a basketball to","Then, Ryan and Danielle were working at the garden. Jamie decided to give a basketball to","Then, Ryan and Danielle were working at the garden. Danielle decided to give a basketball to",39808,6047
477,"Then, Lindsay and Stephanie were working at the office. Stephanie decided to give a snack to","Then, Lindsay and Stephanie were working at the office. Nicole decided to give a snack to","Then, Lindsay and Stephanie were working at the office. Lindsay decided to give a snack to",33127,26085
698,"After Christopher and Amy went to the house, Amy gave a necklace to","After Christopher and Amy went to the house, Benjamin gave a necklace to","After Christopher and Amy went to the house, Christopher gave a necklace to",12803,14235
135,"Then, Brian and Jessica were thinking about going to the hospital. Jessica wanted to give a bone to","Then, Brian and Jessica were thinking about going to the hospital. Amber wanted to give a bone to","Then, Brian and Jessica were thinking about going to the hospital. Brian wanted to give a bone to",8403,17352
727,"Then, Lauren and Kyle were working at the office. Kyle decided to give a computer to","Then, Lauren and Kyle were working at the office. Danielle decided to give a computer to","Then, Lauren and Kyle were working at the office. Lauren decided to give a computer to",25672,14316
790,"Then, Travis and Melissa were thinking about going to the garden. Melissa wanted to give a kiss to","Then, Travis and Melissa were thinking about going to the garden. Lisa wanted to give a kiss to","Then, Travis and Melissa were thinking about going to the garden. Travis wanted to give a kiss to",19804,24164
632,"When Andrew and Jason got a computer at the garden, Jason decided to give it to","When Andrew and Jason got a computer at the garden, Megan decided to give it to","When Andrew and Jason got a computer at the garden, Andrew decided to give it to",6858,8982
327,"Then, Dustin and Kyle were working at the garden. Dustin decided to give a bone to","Then, Dustin and Kyle were working at the garden. Richard decided to give a bone to","Then, Dustin and Kyle were working at the garden. Kyle decided to give a bone to",14316,37616
853,"Then, Jason and Shannon were thinking about going to the office. Shannon wanted to give a necklace to","Then, Jason and Shannon were thinking about going to the office. John wanted to give a necklace to","Then, Jason and Shannon were thinking about going to the office. Jason wanted to give a necklace to",8982,28108
480,"Then, Thomas and Megan went to the office. Thomas gave a kiss to","Then, Thomas and Megan went to the office. Brandon gave a kiss to","Then, Thomas and Megan went to the office. Megan gave a kiss to",27616,5658
449,"Then, Paul and Travis had a lot of fun at the store. Paul gave a bone to","Then, Paul and Travis had a lot of fun at the store. Cody gave a bone to","Then, Paul and Travis had a lot of fun at the store. Travis gave a bone to",19804,3362
588,"Then, Alexander and Mark were thinking about going to the restaurant. Alexander wanted to give a bone to","Then, Alexander and Mark were thinking about going to the restaurant. Bryan wanted to give a bone to","Then, Alexander and Mark were thinking about going to the restaurant. Mark wanted to give a bone to",2940,10009
237,"Then, Melissa and Charles went to the store. Melissa gave a drink to","Then, Melissa and Charles went to the store. Allison gave a drink to","Then, Melissa and Charles went to the store. Charles gave a drink to",7516,24164
523,"After Andrew and Justin went to the garden, Andrew gave a kiss to","After Andrew and Justin went to the garden, Alexander gave a kiss to","After Andrew and Justin went to the garden, Justin gave a kiss to",10799,6858
834,"Then, Melissa and James went to the school. Melissa gave a kiss to","Then, Melissa and James went to the school. Erica gave a kiss to","Then, Melissa and James went to the school. James gave a kiss to",3700,24164
441,"After Tiffany and Scott went to the office, Scott gave a ring to","After Tiffany and Scott went to the office, Patrick gave a ring to","After Tiffany and Scott went to the office, Tiffany gave a ring to",40928,4746
376,"When Nicole and Aaron got a necklace at the school, Aaron decided to give it to","When Nicole and Aaron got a necklace at the school, Amanda decided to give it to","When Nicole and Aaron got a necklace at the school, Nicole decided to give it to",25176,12139
798,"After Laura and Eric went to the store, Laura gave a ring to","After Laura and Eric went to the store, Andrew gave a ring to","After Laura and Eric went to the store, Eric gave a ring to",7651,16753
692,"After Nicole and Mark went to the garden, Mark gave a kiss to","After Nicole and Mark went to the garden, Laura gave a kiss to","After Nicole and Mark went to the garden, Nicole gave a kiss to",25176,2940
879,"When Michelle and Katherine got a computer at the house, Katherine decided to give it to","When Michelle and Katherine got a computer at the house, Amber decided to give it to","When Michelle and Katherine got a computer at the house, Michelle decided to give it to",16738,32719
633,"Then, Paul and Rachel had a long argument, and afterwards Paul said to","Then, Paul and Rachel had a long argument, and afterwards Lisa said to","Then, Paul and Rachel had a long argument, and afterwards Rachel said to",15984,3362
684,"Then, Bradley and Mary had a lot of fun at the restaurant. Bradley gave a drink to","Then, Bradley and Mary had a lot of fun at the restaurant. Kevin gave a drink to","Then, Bradley and Mary had a lot of fun at the restaurant. Mary gave a drink to",5335,16182
114,"Then, Joseph and Robert had a long argument, and afterwards Robert said to","Then, Joseph and Robert had a long argument, and afterwards Courtney said to","Then, Joseph and Robert had a long argument, and afterwards Joseph said to",7212,5199
696,"Then, Kristen and Elizabeth had a lot of fun at the restaurant. Elizabeth gave a computer to","Then, Kristen and Elizabeth had a lot of fun at the restaurant. Kimberly gave a computer to","Then, Kristen and Elizabeth had a lot of fun at the restaurant. Kristen gave a computer to",44467,10674
880,"After Scott and Thomas went to the office, Scott gave a bone to","After Scott and Thomas went to the office, Matthew gave a bone to","After Scott and Thomas went to the office, Thomas gave a bone to",5658,4746
601,"Then, Lisa and Courtney were thinking about going to the house. Courtney wanted to give a kiss to","Then, Lisa and Courtney were thinking about going to the house. Katie wanted to give a kiss to","Then, Lisa and Courtney were thinking about going to the house. Lisa wanted to give a kiss to",15378,36677
668,"Then, Tyler and Kelly had a long argument, and afterwards Kelly said to","Then, Tyler and Kelly had a long argument, and afterwards Paul said to","Then, Tyler and Kelly had a long argument, and afterwards Tyler said to",14886,9077
473,"Then, Tiffany and Bradley were thinking about going to the house. Tiffany wanted to give a kiss to","Then, Tiffany and Bradley were thinking about going to the house. Kelly wanted to give a kiss to","Then, Tiffany and Bradley were thinking about going to the house. Bradley wanted to give a kiss to",16182,40928
748,"Then, Lindsey and Alexander had a long argument, and afterwards Lindsey said to","Then, Lindsey and Alexander had a long argument, and afterwards Timothy said to","Then, Lindsey and Alexander had a long argument, and afterwards Alexander said to",10009,30334
823,"Then, Stephen and Timothy had a long argument, and afterwards Stephen said to","Then, Stephen and Timothy had a long argument, and afterwards Patrick said to","Then, Stephen and Timothy had a long argument, and afterwards Timothy said to",22283,7970
34,"Then, Christopher and Kyle were working at the hospital. Kyle decided to give a basketball to","Then, Christopher and Kyle were working at the hospital. Tiffany decided to give a basketball to","Then, Christopher and Kyle were working at the hospital. Christopher decided to give a basketball to",12803,14316
923,"After Kelly and Melissa went to the garden, Kelly gave a bone to","After Kelly and Melissa went to the garden, Bryan gave a bone to","After Kelly and Melissa went to the garden, Melissa gave a bone to",24164,9077
500,"After Megan and Cody went to the house, Cody gave a kiss to","After Megan and Cody went to the house, James gave a kiss to","After Megan and Cody went to the house, Megan gave a kiss to",27616,27035
371,"When Melissa and Kevin got a computer at the house, Kevin decided to give it to","When Melissa and Kevin got a computer at the house, Scott decided to give it to","When Melissa and Kevin got a computer at the house, Melissa decided to give it to",24164,7939
552,"Then, Bradley and Andrew were thinking about going to the office. Bradley wanted to give a basketball to","Then, Bradley and Andrew were thinking about going to the office. Cody wanted to give a basketball to","Then, Bradley and Andrew were thinking about going to the office. Andrew wanted to give a basketball to",6858,16182
383,"Then, Joshua and Michael had a lot of fun at the station. Michael gave a kiss to","Then, Joshua and Michael had a lot of fun at the station. Brian gave a kiss to","Then, Joshua and Michael had a lot of fun at the station. Joshua gave a kiss to",20700,3899
56,"After Kelly and Alicia went to the office, Alicia gave a computer to","After Kelly and Alicia went to the office, Angela gave a computer to","After Kelly and Alicia went to the office, Kelly gave a computer to",9077,39607
5,"Then, Vanessa and Matthew were thinking about going to the office. Vanessa wanted to give a ring to","Then, Vanessa and Matthew were thinking about going to the office. Patrick wanted to give a ring to","Then, Vanessa and Matthew were thinking about going to the office. Matthew wanted to give a ring to",9308,42100
287,"Then, Jamie and Joseph had a lot of fun at the station. Jamie gave a bone to","Then, Jamie and Joseph had a lot of fun at the station. Thomas gave a bone to","Then, Jamie and Joseph had a lot of fun at the station. Joseph gave a bone to",7212,17826
568,"Then, Anthony and Travis were working at the restaurant. Travis decided to give a snack to","Then, Anthony and Travis were working at the restaurant. Andrew decided to give a snack to","Then, Anthony and Travis were working at the restaurant. Anthony decided to give a snack to",9953,19804
510,"Then, Anthony and Erin went to the store. Erin gave a bone to","Then, Anthony and Erin went to the store. John gave a bone to","Then, Anthony and Erin went to the store. Anthony gave a bone to",9953,28894
744,"When Amber and Jeffrey got a basketball at the hospital, Jeffrey decided to give it to","When Amber and Jeffrey got a basketball at the hospital, Jesse decided to give it to","When Amber and Jeffrey got a basketball at the hospital, Amber decided to give it to",21896,19627
608,"When Melissa and Kristen got a drink at the school, Melissa decided to give it to","When Melissa and Kristen got a drink at the school, David decided to give it to","When Melissa and Kristen got a drink at the school, Kristen decided to give it to",44467,24164
255,"Then, Nicholas and David had a lot of fun at the hospital. David gave a ring to","Then, Nicholas and David had a lot of fun at the hospital. Erin gave a ring to","Then, Nicholas and David had a lot of fun at the hospital. Nicholas gave a ring to",20320,3271
311,"Then, John and Timothy had a long argument, and afterwards Timothy said to","Then, John and Timothy had a long argument, and afterwards Rachel said to","Then, John and Timothy had a long argument, and afterwards John said to",1757,22283
686,"Then, Eric and Brandon had a lot of fun at the office. Brandon gave a basketball to","Then, Eric and Brandon had a lot of fun at the office. Robert gave a basketball to","Then, Eric and Brandon had a lot of fun at the office. Eric gave a basketball to",7651,14328
83,"Then, Jonathan and Charles were thinking about going to the station. Charles wanted to give a kiss to","Then, Jonathan and Charles were thinking about going to the station. Gregory wanted to give a kiss to","Then, Jonathan and Charles were thinking about going to the station. Jonathan wanted to give a kiss to",11232,7516
599,"After Stephanie and Mary went to the office, Stephanie gave a drink to","After Stephanie and Mary went to the office, Shannon gave a drink to","After Stephanie and Mary went to the office, Mary gave a drink to",5335,26085
835,"Then, Kimberly and Katie had a lot of fun at the house. Katie gave a necklace to","Then, Kimberly and Katie had a lot of fun at the house. Steven gave a necklace to","Then, Kimberly and Katie had a lot of fun at the house. Kimberly gave a necklace to",48685,24721
915,"When Dustin and Timothy got a basketball at the garden, Dustin decided to give it to","When Dustin and Timothy got a basketball at the garden, Joseph decided to give it to","When Dustin and Timothy got a basketball at the garden, Timothy decided to give it to",22283,37616
912,"Then, Amy and Danielle were working at the store. Amy decided to give a snack to","Then, Amy and Danielle were working at the store. Kevin decided to give a snack to","Then, Amy and Danielle were working at the store. Danielle decided to give a snack to",39808,14235
973,"Then, Tyler and Dustin were thinking about going to the house. Dustin wanted to give a necklace to","Then, Tyler and Dustin were thinking about going to the house. Kevin wanted to give a necklace to","Then, Tyler and Dustin were thinking about going to the house. Tyler wanted to give a necklace to",14886,37616
985,"Then, Matthew and Rebecca had a lot of fun at the store. Rebecca gave a kiss to","Then, Matthew and Rebecca had a lot of fun at the store. Bryan gave a kiss to","Then, Matthew and Rebecca had a lot of fun at the store. Matthew gave a kiss to",9308,23489
100,"After Patrick and Gregory went to the station, Gregory gave a kiss to","After Patrick and Gregory went to the station, David gave a kiss to","After Patrick and Gregory went to the station, Patrick gave a kiss to",9925,20653
659,"Then, Allison and Katie had a lot of fun at the station. Allison gave a snack to","Then, Allison and Katie had a lot of fun at the station. Kenneth gave a snack to","Then, Allison and Katie had a lot of fun at the station. Katie gave a snack to",24721,33461
423,"Then, Eric and Elizabeth had a lot of fun at the house. Elizabeth gave a ring to","Then, Eric and Elizabeth had a lot of fun at the house. Paul gave a ring to","Then, Eric and Elizabeth had a lot of fun at the house. Eric gave a ring to",7651,10674
234,"After Thomas and Daniel went to the restaurant, Daniel gave a bone to","After Thomas and Daniel went to the restaurant, Patrick gave a bone to","After Thomas and Daniel went to the restaurant, Thomas gave a bone to",5658,7806
732,"Then, David and Megan had a long argument, and afterwards David said to","Then, David and Megan had a long argument, and afterwards Steven said to","Then, David and Megan had a long argument, and afterwards Megan said to",27616,3271
214,"Then, Heather and Kenneth went to the school. Heather gave a necklace to","Then, Heather and Kenneth went to the school. Michael gave a necklace to","Then, Heather and Kenneth went to the school. Kenneth gave a necklace to",23632,24253
780,"Then, Benjamin and Kenneth were working at the restaurant. Benjamin decided to give a drink to","Then, Benjamin and Kenneth were working at the restaurant. Brian decided to give a drink to","Then, Benjamin and Kenneth were working at the restaurant. Kenneth decided to give a drink to",23632,14533
469,"When Steven and Aaron got a basketball at the office, Aaron decided to give it to","When Steven and Aaron got a basketball at the office, Scott decided to give it to","When Steven and Aaron got a basketball at the office, Steven decided to give it to",8239,12139
640,"Then, Samantha and Brian had a long argument, and afterwards Brian said to","Then, Samantha and Brian had a long argument, and afterwards Jeffrey said to","Then, Samantha and Brian had a long argument, and afterwards Samantha said to",34778,8403
399,"Then, Jesse and Amber went to the garden. Jesse gave a necklace to","Then, Jesse and Amber went to the garden. Kevin gave a necklace to","Then, Jesse and Amber went to the garden. Amber gave a necklace to",21896,18033
450,"After Erica and Vanessa went to the station, Vanessa gave a computer to","After Erica and Vanessa went to the station, Scott gave a computer to","After Erica and Vanessa went to the station, Erica gave a computer to",45187,42100
530,"Then, James and Jason went to the school. Jason gave a drink to","Then, James and Jason went to the school. Andrea gave a drink to","Then, James and Jason went to the school. James gave a drink to",3700,8982
305,"Then, Bradley and Allison had a long argument, and afterwards Allison said to","Then, Bradley and Allison had a long argument, and afterwards Brandon said to","Then, Bradley and Allison had a long argument, and afterwards Bradley said to",16182,33461
901,"Then, Nicholas and Joseph went to the store. Joseph gave a snack to","Then, Nicholas and Joseph went to the store. Tiffany gave a snack to","Then, Nicholas and Joseph went to the store. Nicholas gave a snack to",20320,7212
125,"After Gregory and Nicole went to the school, Gregory gave a ring to","After Gregory and Nicole went to the school, Jeffrey gave a ring to","After Gregory and Nicole went to the school, Nicole gave a ring to",25176,20653
641,"After Sean and Amber went to the restaurant, Sean gave a computer to","After Sean and Amber went to the restaurant, Joshua gave a computer to","After Sean and Amber went to the restaurant, Amber gave a computer to",21896,11465
179,"Then, Bradley and Adam had a long argument, and afterwards Bradley said to","Then, Bradley and Adam had a long argument, and afterwards Courtney said to","Then, Bradley and Adam had a long argument, and afterwards Adam said to",7244,16182
266,"Then, Samuel and Kyle were thinking about going to the school. Kyle wanted to give a drink to","Then, Samuel and Kyle were thinking about going to the school. Rebecca wanted to give a drink to","Then, Samuel and Kyle were thinking about going to the school. Samuel wanted to give a drink to",17100,14316
571,"Then, Erin and Danielle had a long argument, and afterwards Erin said to","Then, Erin and Danielle had a long argument, and afterwards Jose said to","Then, Erin and Danielle had a long argument, and afterwards Danielle said to",39808,28894
13,"After Stephanie and William went to the garden, Stephanie gave a snack to","After Stephanie and William went to the garden, Christina gave a snack to","After Stephanie and William went to the garden, William gave a snack to",3977,26085
249,"After Crystal and Richard went to the store, Richard gave a ring to","After Crystal and Richard went to the store, Nicole gave a ring to","After Crystal and Richard went to the store, Crystal gave a ring to",12969,6219
348,"Then, Lindsay and Mary were working at the hospital. Mary decided to give a snack to","Then, Lindsay and Mary were working at the hospital. Travis decided to give a snack to","Then, Lindsay and Mary were working at the hospital. Lindsay decided to give a snack to",33127,5335
33,"Then, Amanda and Anthony had a long argument, and afterwards Amanda said to","Then, Amanda and Anthony had a long argument, and afterwards Thomas said to","Then, Amanda and Anthony had a long argument, and afterwards Anthony said to",9953,23040
127,"Then, Lauren and William had a long argument, and afterwards Lauren said to","Then, Lauren and William had a long argument, and afterwards Samuel said to","Then, Lauren and William had a long argument, and afterwards William said to",3977,25672
10,"Then, Heather and Paul had a long argument, and afterwards Heather said to","Then, Heather and Paul had a long argument, and afterwards Robert said to","Then, Heather and Paul had a long argument, and afterwards Paul said to",3362,24253
456,"When Lauren and Stephen got a snack at the hospital, Stephen decided to give it to","When Lauren and Stephen got a snack at the hospital, Charles decided to give it to","When Lauren and Stephen got a snack at the hospital, Lauren decided to give it to",25672,7970
910,"After James and Erin went to the garden, James gave a computer to","After James and Erin went to the garden, Sara gave a computer to","After James and Erin went to the garden, Erin gave a computer to",28894,3700
787,"After Kelly and Megan went to the garden, Megan gave a computer to","After Kelly and Megan went to the garden, Kristen gave a computer to","After Kelly and Megan went to the garden, Kelly gave a computer to",9077,27616
318,"Then, Kenneth and Jason had a long argument, and afterwards Jason said to","Then, Kenneth and Jason had a long argument, and afterwards Christina said to","Then, Kenneth and Jason had a long argument, and afterwards Kenneth said to",23632,8982
261,"Then, Stephanie and Sara had a long argument, and afterwards Stephanie said to","Then, Stephanie and Sara had a long argument, and afterwards Kevin said to","Then, Stephanie and Sara had a long argument, and afterwards Sara said to",24799,26085
0,"Then, Scott and Christina went to the store. Scott gave a snack to","Then, Scott and Christina went to the store. Alicia gave a snack to","Then, Scott and Christina went to the store. Christina gave a snack to",33673,4746
384,"Then, Rebecca and Emily were thinking about going to the house. Rebecca wanted to give a kiss to","Then, Rebecca and Emily were thinking about going to the house. Andrea wanted to give a kiss to","Then, Rebecca and Emily were thinking about going to the house. Emily wanted to give a kiss to",17608,23489
997,"Then, Dustin and Andrea were thinking about going to the garden. Andrea wanted to give a snack to","Then, Dustin and Andrea were thinking about going to the garden. Sarah wanted to give a snack to","Then, Dustin and Andrea were thinking about going to the garden. Dustin wanted to give a snack to",37616,23174
665,"Then, Brandon and David were working at the garden. Brandon decided to give a bone to","Then, Brandon and David were working at the garden. Christina decided to give a bone to","Then, Brandon and David were working at the garden. David decided to give a bone to",3271,14328
173,"After Kristen and Nathan went to the station, Nathan gave a snack to","After Kristen and Nathan went to the station, Lindsay gave a snack to","After Kristen and Nathan went to the station, Kristen gave a snack to",44467,18106
27,"Then, Courtney and Scott had a lot of fun at the office. Scott gave a ring to","Then, Courtney and Scott had a lot of fun at the office. William gave a ring to","Then, Courtney and Scott had a lot of fun at the office. Courtney gave a ring to",36677,4746
728,"When Stephen and Katie got a kiss at the restaurant, Katie decided to give it to","When Stephen and Katie got a kiss at the restaurant, Dustin decided to give it to","When Stephen and Katie got a kiss at the restaurant, Stephen decided to give it to",7970,24721
49,"Then, Alicia and Jamie went to the school. Alicia gave a basketball to","Then, Alicia and Jamie went to the school. Crystal gave a basketball to","Then, Alicia and Jamie went to the school. Jamie gave a basketball to",17826,39607
634,"Then, Thomas and Timothy went to the hospital. Thomas gave a necklace to","Then, Thomas and Timothy went to the hospital. Michael gave a necklace to","Then, Thomas and Timothy went to the hospital. Timothy gave a necklace to",22283,5658
76,"When Erica and Emily got a snack at the restaurant, Emily decided to give it to","When Erica and Emily got a snack at the restaurant, Justin decided to give it to","When Erica and Emily got a snack at the restaurant, Erica decided to give it to",45187,17608
600,"Then, Melissa and Robert had a long argument, and afterwards Robert said to","Then, Melissa and Robert had a long argument, and afterwards Lisa said to","Then, Melissa and Robert had a long argument, and afterwards Melissa said to",24164,5199
947,"After Kristen and Lindsey went to the station, Kristen gave a basketball to","After Kristen and Lindsey went to the station, Vanessa gave a basketball to","After Kristen and Lindsey went to the station, Lindsey gave a basketball to",30334,44467
331,"After Rebecca and Daniel went to the house, Daniel gave a drink to","After Rebecca and Daniel went to the house, Sean gave a drink to","After Rebecca and Daniel went to the house, Rebecca gave a drink to",23489,7806
730,"Then, Alicia and Heather were working at the house. Heather decided to give a kiss to","Then, Alicia and Heather were working at the house. Alexander decided to give a kiss to","Then, Alicia and Heather were working at the house. Alicia decided to give a kiss to",39607,24253
831,"Then, Matthew and Christopher went to the office. Christopher gave a basketball to","Then, Matthew and Christopher went to the office. Lindsay gave a basketball to","Then, Matthew and Christopher went to the office. Matthew gave a basketball to",9308,12803
610,"When Patrick and Ryan got a computer at the garden, Patrick decided to give it to","When Patrick and Ryan got a computer at the garden, Andrew decided to give it to","When Patrick and Ryan got a computer at the garden, Ryan decided to give it to",6047,9925
737,"Then, Erin and Amanda went to the school. Erin gave a drink to","Then, Erin and Amanda went to the school. Matthew gave a drink to","Then, Erin and Amanda went to the school. Amanda gave a drink to",23040,28894
78,"Then, Lindsay and Bryan had a lot of fun at the house. Lindsay gave a ring to","Then, Lindsay and Bryan had a lot of fun at the house. Allison gave a ring to","Then, Lindsay and Bryan had a lot of fun at the house. Bryan gave a ring to",17857,33127
444,"Then, Lauren and Jennifer had a long argument, and afterwards Jennifer said to","Then, Lauren and Jennifer had a long argument, and afterwards Aaron said to","Then, Lauren and Jennifer had a long argument, and afterwards Lauren said to",25672,16348
105,"Then, Jonathan and Bryan had a long argument, and afterwards Jonathan said to","Then, Jonathan and Bryan had a long argument, and afterwards Brandon said to","Then, Jonathan and Bryan had a long argument, and afterwards Bryan said to",17857,11232
580,"When Courtney and Mary got a drink at the station, Mary decided to give it to","When Courtney and Mary got a drink at the station, Samuel decided to give it to","When Courtney and Mary got a drink at the station, Courtney decided to give it to",36677,5335
603,"Then, Joseph and Richard were working at the garden. Richard decided to give a computer to","Then, Joseph and Richard were working at the garden. Stephen decided to give a computer to","Then, Joseph and Richard were working at the garden. Joseph decided to give a computer to",7212,6219
881,"After Nathan and Sean went to the hospital, Sean gave a ring to","After Nathan and Sean went to the hospital, Alexander gave a ring to","After Nathan and Sean went to the hospital, Nathan gave a ring to",18106,11465
230,"When Sarah and Andrea got a bone at the office, Andrea decided to give it to","When Sarah and Andrea got a bone at the office, Sean decided to give it to","When Sarah and Andrea got a bone at the office, Sarah decided to give it to",10490,23174
882,"When Vanessa and Robert got a computer at the store, Robert decided to give it to","When Vanessa and Robert got a computer at the store, Kyle decided to give it to","When Vanessa and Robert got a computer at the store, Vanessa decided to give it to",42100,5199
284,"Then, Kristen and Timothy had a long argument, and afterwards Kristen said to","Then, Kristen and Timothy had a long argument, and afterwards Laura said to","Then, Kristen and Timothy had a long argument, and afterwards Timothy said to",22283,44467
256,"Then, Stephanie and Kyle had a long argument, and afterwards Stephanie said to","Then, Stephanie and Kyle had a long argument, and afterwards Jonathan said to","Then, Stephanie and Kyle had a long argument, and afterwards Kyle said to",14316,26085
257,"Then, Amanda and Matthew were thinking about going to the hospital. Matthew wanted to give a kiss to","Then, Amanda and Matthew were thinking about going to the hospital. Andrew wanted to give a kiss to","Then, Amanda and Matthew were thinking about going to the hospital. Amanda wanted to give a kiss to",23040,9308
806,"After Jonathan and Cody went to the office, Jonathan gave a bone to","After Jonathan and Cody went to the office, Robert gave a bone to","After Jonathan and Cody went to the office, Cody gave a bone to",27035,11232
28,"After Eric and Jeffrey went to the store, Jeffrey gave a bone to","After Eric and Jeffrey went to the store, Stephen gave a bone to","After Eric and Jeffrey went to the store, Eric gave a bone to",7651,19627
301,"Then, Stephanie and Mary had a lot of fun at the office. Stephanie gave a computer to","Then, Stephanie and Mary had a lot of fun at the office. Vanessa gave a computer to","Then, Stephanie and Mary had a lot of fun at the office. Mary gave a computer to",5335,26085
115,"Then, Nicole and Crystal went to the garden. Nicole gave a computer to","Then, Nicole and Crystal went to the garden. Kimberly gave a computer to","Then, Nicole and Crystal went to the garden. Crystal gave a computer to",12969,25176
532,"Then, John and Kelly were thinking about going to the hospital. Kelly wanted to give a bone to","Then, John and Kelly were thinking about going to the hospital. Christina wanted to give a bone to","Then, John and Kelly were thinking about going to the hospital. John wanted to give a bone to",1757,9077
281,"After Brittany and Michelle went to the restaurant, Brittany gave a kiss to","After Brittany and Michelle went to the restaurant, Travis gave a kiss to","After Brittany and Michelle went to the restaurant, Michelle gave a kiss to",16738,48773
72,"Then, Alexander and Michael had a long argument, and afterwards Michael said to","Then, Alexander and Michael had a long argument, and afterwards Jennifer said to","Then, Alexander and Michael had a long argument, and afterwards Alexander said to",10009,3899
683,"Then, Jeremy and Alexander were working at the school. Jeremy decided to give a ring to","Then, Jeremy and Alexander were working at the school. John decided to give a ring to","Then, Jeremy and Alexander were working at the school. Alexander decided to give a ring to",10009,11753
548,"When Daniel and Shannon got a computer at the station, Daniel decided to give it to","When Daniel and Shannon got a computer at the station, Christina decided to give it to","When Daniel and Shannon got a computer at the station, Shannon decided to give it to",28108,7806
810,"Then, William and Sara were thinking about going to the office. Sara wanted to give a snack to","Then, William and Sara were thinking about going to the office. Mark wanted to give a snack to","Then, William and Sara were thinking about going to the office. William wanted to give a snack to",3977,24799
505,"Then, Courtney and Matthew went to the office. Matthew gave a computer to","Then, Courtney and Matthew went to the office. Mary gave a computer to","Then, Courtney and Matthew went to the office. Courtney gave a computer to",36677,9308
606,"Then, Cody and Angela went to the school. Angela gave a drink to","Then, Cody and Angela went to the school. Michelle gave a drink to","Then, Cody and Angela went to the school. Cody gave a drink to",27035,17799
482,"Then, Christopher and Alicia were thinking about going to the station. Christopher wanted to give a kiss to","Then, Christopher and Alicia were thinking about going to the station. Lindsay wanted to give a kiss to","Then, Christopher and Alicia were thinking about going to the station. Alicia wanted to give a kiss to",39607,12803
333,"After Tyler and Cody went to the store, Cody gave a ring to","After Tyler and Cody went to the store, Charles gave a ring to","After Tyler and Cody went to the store, Tyler gave a ring to",14886,27035
329,"Then, Jeffrey and Lindsey went to the store. Lindsey gave a drink to","Then, Jeffrey and Lindsey went to the store. Robert gave a drink to","Then, Jeffrey and Lindsey went to the store. Jeffrey gave a drink to",19627,30334
715,"When Amber and Christina got a drink at the hospital, Christina decided to give it to","When Amber and Christina got a drink at the hospital, Brandon decided to give it to","When Amber and Christina got a drink at the hospital, Amber decided to give it to",21896,33673
89,"When James and Crystal got a kiss at the restaurant, Crystal decided to give it to","When James and Crystal got a kiss at the restaurant, Scott decided to give it to","When James and Crystal got a kiss at the restaurant, James decided to give it to",3700,12969
304,"Then, Elizabeth and Joseph were thinking about going to the school. Elizabeth wanted to give a computer to","Then, Elizabeth and Joseph were thinking about going to the school. Jesse wanted to give a computer to","Then, Elizabeth and Joseph were thinking about going to the school. Joseph wanted to give a computer to",7212,10674
369,"When Daniel and Sara got a kiss at the restaurant, Sara decided to give it to","When Daniel and Sara got a kiss at the restaurant, Heather decided to give it to","When Daniel and Sara got a kiss at the restaurant, Daniel decided to give it to",7806,24799
535,"Then, Brandon and Amanda went to the office. Brandon gave a drink to","Then, Brandon and Amanda went to the office. Kenneth gave a drink to","Then, Brandon and Amanda went to the office. Amanda gave a drink to",23040,14328
772,"Then, Christine and Crystal went to the restaurant. Christine gave a kiss to","Then, Christine and Crystal went to the restaurant. Stephanie gave a kiss to","Then, Christine and Crystal went to the restaurant. Crystal gave a kiss to",12969,26088
332,"Then, Steven and Megan were working at the hospital. Megan decided to give a basketball to","Then, Steven and Megan were working at the hospital. Travis decided to give a basketball to","Then, Steven and Megan were working at the hospital. Steven decided to give a basketball to",8239,27616
263,"Then, Patrick and Elizabeth were working at the house. Patrick decided to give a snack to","Then, Patrick and Elizabeth were working at the house. Benjamin decided to give a snack to","Then, Patrick and Elizabeth were working at the house. Elizabeth decided to give a snack to",10674,9925
701,"Then, Elizabeth and Brandon had a long argument, and afterwards Elizabeth said to","Then, Elizabeth and Brandon had a long argument, and afterwards Bryan said to","Then, Elizabeth and Brandon had a long argument, and afterwards Brandon said to",14328,10674
349,"Then, Michael and Benjamin had a lot of fun at the garden. Michael gave a computer to","Then, Michael and Benjamin had a lot of fun at the garden. Anthony gave a computer to","Then, Michael and Benjamin had a lot of fun at the garden. Benjamin gave a computer to",14533,3899
419,"Then, Danielle and Sara had a lot of fun at the office. Sara gave a basketball to","Then, Danielle and Sara had a lot of fun at the office. Stephen gave a basketball to","Then, Danielle and Sara had a lot of fun at the office. Danielle gave a basketball to",39808,24799
865,"Then, Samantha and Amy had a long argument, and afterwards Amy said to","Then, Samantha and Amy had a long argument, and afterwards Steven said to","Then, Samantha and Amy had a long argument, and afterwards Samantha said to",34778,14235
918,"Then, Thomas and Jamie went to the store. Jamie gave a ring to","Then, Thomas and Jamie went to the store. Shannon gave a ring to","Then, Thomas and Jamie went to the store. Thomas gave a ring to",5658,17826
