clean,corrupted,correct_idx
The contract lasted from the year 1708 to the year 17,The contract lasted from the year 1701 to the year 17,8
The coma lasted from the year 1230 to the year 12,The coma lasted from the year 1201 to the year 12,30
The rule lasted from the year 1702 to the year 17,The rule lasted from the year 1701 to the year 17,2
The trial lasted from the year 1596 to the year 15,The trial lasted from the year 1501 to the year 15,96
The existence lasted from the year 1454 to the year 14,The existence lasted from the year 1401 to the year 14,54
The process lasted from the year 1536 to the year 15,The process lasted from the year 1501 to the year 15,36
The fall lasted from the year 1754 to the year 17,The fall lasted from the year 1701 to the year 17,54
The contract lasted from the year 1785 to the year 17,The contract lasted from the year 1701 to the year 17,85
The exchange lasted from the year 1528 to the year 15,The exchange lasted from the year 1501 to the year 15,28
The riot lasted from the year 1426 to the year 14,The riot lasted from the year 1401 to the year 14,26
The challenge lasted from the year 1639 to the year 16,The challenge lasted from the year 1601 to the year 16,39
The growth lasted from the year 1687 to the year 16,The growth lasted from the year 1601 to the year 16,87
The work lasted from the year 1706 to the year 17,The work lasted from the year 1701 to the year 17,6
The trip lasted from the year 1247 to the year 12,The trip lasted from the year 1201 to the year 12,47
The study lasted from the year 1112 to the year 11,The study lasted from the year 1101 to the year 11,12
The employment lasted from the year 1279 to the year 12,The employment lasted from the year 1201 to the year 12,79
The challenge lasted from the year 1745 to the year 17,The challenge lasted from the year 1701 to the year 17,45
The rise lasted from the year 1464 to the year 14,The rise lasted from the year 1401 to the year 14,64
The program lasted from the year 1797 to the year 17,The program lasted from the year 1701 to the year 17,97
The operation lasted from the year 1487 to the year 14,The operation lasted from the year 1401 to the year 14,87
The rise lasted from the year 1708 to the year 17,The rise lasted from the year 1701 to the year 17,8
The riot lasted from the year 1704 to the year 17,The riot lasted from the year 1701 to the year 17,4
The study lasted from the year 1726 to the year 17,The study lasted from the year 1701 to the year 17,26
The accord lasted from the year 1482 to the year 14,The accord lasted from the year 1401 to the year 14,82
The employment lasted from the year 1486 to the year 14,The employment lasted from the year 1401 to the year 14,86
The tour lasted from the year 1428 to the year 14,The tour lasted from the year 1401 to the year 14,28
The fall lasted from the year 1453 to the year 14,The fall lasted from the year 1401 to the year 14,53
The quest lasted from the year 1767 to the year 17,The quest lasted from the year 1701 to the year 17,67
The progress lasted from the year 1751 to the year 17,The progress lasted from the year 1701 to the year 17,51
The plan lasted from the year 1457 to the year 14,The plan lasted from the year 1401 to the year 14,57
The effect lasted from the year 1744 to the year 17,The effect lasted from the year 1701 to the year 17,44
The progress lasted from the year 1617 to the year 16,The progress lasted from the year 1601 to the year 16,17
The progress lasted from the year 1566 to the year 15,The progress lasted from the year 1501 to the year 15,66
The testing lasted from the year 1734 to the year 17,The testing lasted from the year 1701 to the year 17,34
The fall lasted from the year 1791 to the year 17,The fall lasted from the year 1701 to the year 17,91
The riot lasted from the year 1693 to the year 16,The riot lasted from the year 1601 to the year 16,93
The shift lasted from the year 1673 to the year 16,The shift lasted from the year 1601 to the year 16,73
The rise lasted from the year 1310 to the year 13,The rise lasted from the year 1301 to the year 13,10
The program lasted from the year 1459 to the year 14,The program lasted from the year 1401 to the year 14,59
The accord lasted from the year 1721 to the year 17,The accord lasted from the year 1701 to the year 17,21
The effect lasted from the year 1531 to the year 15,The effect lasted from the year 1501 to the year 15,31
The rise lasted from the year 1483 to the year 14,The rise lasted from the year 1401 to the year 14,83
The plan lasted from the year 1112 to the year 11,The plan lasted from the year 1101 to the year 11,12
The trial lasted from the year 1317 to the year 13,The trial lasted from the year 1301 to the year 13,17
The exchange lasted from the year 1751 to the year 17,The exchange lasted from the year 1701 to the year 17,51
The tests lasted from the year 1288 to the year 12,The tests lasted from the year 1201 to the year 12,88
The project lasted from the year 1480 to the year 14,The project lasted from the year 1401 to the year 14,80
The plan lasted from the year 1487 to the year 14,The plan lasted from the year 1401 to the year 14,87
The fall lasted from the year 1672 to the year 16,The fall lasted from the year 1601 to the year 16,72
The operation lasted from the year 1656 to the year 16,The operation lasted from the year 1601 to the year 16,56
The effect lasted from the year 1237 to the year 12,The effect lasted from the year 1201 to the year 12,37
The program lasted from the year 1435 to the year 14,The program lasted from the year 1401 to the year 14,35
The case lasted from the year 1517 to the year 15,The case lasted from the year 1501 to the year 15,17
The development lasted from the year 1429 to the year 14,The development lasted from the year 1401 to the year 14,29
The exchange lasted from the year 1496 to the year 14,The exchange lasted from the year 1401 to the year 14,96
The trip lasted from the year 1736 to the year 17,The trip lasted from the year 1701 to the year 17,36
The development lasted from the year 1673 to the year 16,The development lasted from the year 1601 to the year 16,73
The shift lasted from the year 1662 to the year 16,The shift lasted from the year 1601 to the year 16,62
The project lasted from the year 1414 to the year 14,The project lasted from the year 1401 to the year 14,14
The program lasted from the year 1578 to the year 15,The program lasted from the year 1501 to the year 15,78
The study lasted from the year 1264 to the year 12,The study lasted from the year 1201 to the year 12,64
The order lasted from the year 1536 to the year 15,The order lasted from the year 1501 to the year 15,36
The campaign lasted from the year 1708 to the year 17,The campaign lasted from the year 1701 to the year 17,8
The shift lasted from the year 1634 to the year 16,The shift lasted from the year 1601 to the year 16,34
The accord lasted from the year 1772 to the year 17,The accord lasted from the year 1701 to the year 17,72
The development lasted from the year 1441 to the year 14,The development lasted from the year 1401 to the year 14,41
The fall lasted from the year 1417 to the year 14,The fall lasted from the year 1401 to the year 14,17
The study lasted from the year 1468 to the year 14,The study lasted from the year 1401 to the year 14,68
The process lasted from the year 1535 to the year 15,The process lasted from the year 1501 to the year 15,35
The contract lasted from the year 1745 to the year 17,The contract lasted from the year 1701 to the year 17,45
The tour lasted from the year 1790 to the year 17,The tour lasted from the year 1701 to the year 17,90
The accord lasted from the year 1708 to the year 17,The accord lasted from the year 1701 to the year 17,8
The existence lasted from the year 1704 to the year 17,The existence lasted from the year 1701 to the year 17,4
The trial lasted from the year 1445 to the year 14,The trial lasted from the year 1401 to the year 14,45
The attack lasted from the year 1449 to the year 14,The attack lasted from the year 1401 to the year 14,49
The development lasted from the year 1238 to the year 12,The development lasted from the year 1201 to the year 12,38
The riot lasted from the year 1735 to the year 17,The riot lasted from the year 1701 to the year 17,35
The construction lasted from the year 1788 to the year 17,The construction lasted from the year 1701 to the year 17,88
The program lasted from the year 1566 to the year 15,The program lasted from the year 1501 to the year 15,66
The fall lasted from the year 1768 to the year 17,The fall lasted from the year 1701 to the year 17,68
The tour lasted from the year 1707 to the year 17,The tour lasted from the year 1701 to the year 17,7
The accord lasted from the year 1739 to the year 17,The accord lasted from the year 1701 to the year 17,39
The coma lasted from the year 1692 to the year 16,The coma lasted from the year 1601 to the year 16,92
The effect lasted from the year 1669 to the year 16,The effect lasted from the year 1601 to the year 16,69
The case lasted from the year 1220 to the year 12,The case lasted from the year 1201 to the year 12,20
The testing lasted from the year 1726 to the year 17,The testing lasted from the year 1701 to the year 17,26
The challenge lasted from the year 1702 to the year 17,The challenge lasted from the year 1701 to the year 17,2
The process lasted from the year 1704 to the year 17,The process lasted from the year 1701 to the year 17,4
The study lasted from the year 1460 to the year 14,The study lasted from the year 1401 to the year 14,60
The progress lasted from the year 1557 to the year 15,The progress lasted from the year 1501 to the year 15,57
The work lasted from the year 1530 to the year 15,The work lasted from the year 1501 to the year 15,30
The exchange lasted from the year 1635 to the year 16,The exchange lasted from the year 1601 to the year 16,35
The accord lasted from the year 1546 to the year 15,The accord lasted from the year 1501 to the year 15,46
The relationship lasted from the year 1683 to the year 16,The relationship lasted from the year 1601 to the year 16,83
The process lasted from the year 1702 to the year 17,The process lasted from the year 1701 to the year 17,2
The deal lasted from the year 1747 to the year 17,The deal lasted from the year 1701 to the year 17,47
The existence lasted from the year 1765 to the year 17,The existence lasted from the year 1701 to the year 17,65
The contact lasted from the year 1584 to the year 15,The contact lasted from the year 1501 to the year 15,84
The project lasted from the year 1279 to the year 12,The project lasted from the year 1201 to the year 12,79
The effect lasted from the year 1458 to the year 14,The effect lasted from the year 1401 to the year 14,58
The quest lasted from the year 1538 to the year 15,The quest lasted from the year 1501 to the year 15,38
The test lasted from the year 1728 to the year 17,The test lasted from the year 1701 to the year 17,28
The development lasted from the year 1451 to the year 14,The development lasted from the year 1401 to the year 14,51
The growth lasted from the year 1674 to the year 16,The growth lasted from the year 1601 to the year 16,74
The coma lasted from the year 1468 to the year 14,The coma lasted from the year 1401 to the year 14,68
The operation lasted from the year 1112 to the year 11,The operation lasted from the year 1101 to the year 11,12
The development lasted from the year 1798 to the year 17,The development lasted from the year 1701 to the year 17,98
The employment lasted from the year 1673 to the year 16,The employment lasted from the year 1601 to the year 16,73
The process lasted from the year 1241 to the year 12,The process lasted from the year 1201 to the year 12,41
The testing lasted from the year 1662 to the year 16,The testing lasted from the year 1601 to the year 16,62
The accord lasted from the year 1707 to the year 17,The accord lasted from the year 1701 to the year 17,7
The shift lasted from the year 1653 to the year 16,The shift lasted from the year 1601 to the year 16,53
The plan lasted from the year 1703 to the year 17,The plan lasted from the year 1701 to the year 17,3
The trial lasted from the year 1738 to the year 17,The trial lasted from the year 1701 to the year 17,38
The progress lasted from the year 1488 to the year 14,The progress lasted from the year 1401 to the year 14,88
The construction lasted from the year 1776 to the year 17,The construction lasted from the year 1701 to the year 17,76
The trip lasted from the year 1231 to the year 12,The trip lasted from the year 1201 to the year 12,31
The coma lasted from the year 1565 to the year 15,The coma lasted from the year 1501 to the year 15,65
The tests lasted from the year 1781 to the year 17,The tests lasted from the year 1701 to the year 17,81
The accord lasted from the year 1592 to the year 15,The accord lasted from the year 1501 to the year 15,92
The shift lasted from the year 1707 to the year 17,The shift lasted from the year 1701 to the year 17,7
The growth lasted from the year 1520 to the year 15,The growth lasted from the year 1501 to the year 15,20
The riot lasted from the year 1576 to the year 15,The riot lasted from the year 1501 to the year 15,76
The rise lasted from the year 1235 to the year 12,The rise lasted from the year 1201 to the year 12,35
The fall lasted from the year 1738 to the year 17,The fall lasted from the year 1701 to the year 17,38
The rule lasted from the year 1430 to the year 14,The rule lasted from the year 1401 to the year 14,30
The tour lasted from the year 1702 to the year 17,The tour lasted from the year 1701 to the year 17,2
The relationship lasted from the year 1722 to the year 17,The relationship lasted from the year 1701 to the year 17,22
The agreement lasted from the year 1230 to the year 12,The agreement lasted from the year 1201 to the year 12,30
The trip lasted from the year 1637 to the year 16,The trip lasted from the year 1601 to the year 16,37
The existence lasted from the year 1655 to the year 16,The existence lasted from the year 1601 to the year 16,55
The trip lasted from the year 1663 to the year 16,The trip lasted from the year 1601 to the year 16,63
The impact lasted from the year 1246 to the year 12,The impact lasted from the year 1201 to the year 12,46
The work lasted from the year 1559 to the year 15,The work lasted from the year 1501 to the year 15,59
The accord lasted from the year 1274 to the year 12,The accord lasted from the year 1201 to the year 12,74
The coma lasted from the year 1520 to the year 15,The coma lasted from the year 1501 to the year 15,20
The construction lasted from the year 1731 to the year 17,The construction lasted from the year 1701 to the year 17,31
The impact lasted from the year 1493 to the year 14,The impact lasted from the year 1401 to the year 14,93
The accord lasted from the year 1590 to the year 15,The accord lasted from the year 1501 to the year 15,90
The rule lasted from the year 1512 to the year 15,The rule lasted from the year 1501 to the year 15,12
The test lasted from the year 1269 to the year 12,The test lasted from the year 1201 to the year 12,69
The impact lasted from the year 1420 to the year 14,The impact lasted from the year 1401 to the year 14,20
The rule lasted from the year 1496 to the year 14,The rule lasted from the year 1401 to the year 14,96
The rise lasted from the year 1585 to the year 15,The rise lasted from the year 1501 to the year 15,85
The process lasted from the year 1713 to the year 17,The process lasted from the year 1701 to the year 17,13
The tests lasted from the year 1582 to the year 15,The tests lasted from the year 1501 to the year 15,82
The contract lasted from the year 1295 to the year 12,The contract lasted from the year 1201 to the year 12,95
The rule lasted from the year 1715 to the year 17,The rule lasted from the year 1701 to the year 17,15
The attack lasted from the year 1798 to the year 17,The attack lasted from the year 1701 to the year 17,98
The tour lasted from the year 1785 to the year 17,The tour lasted from the year 1701 to the year 17,85
The construction lasted from the year 1772 to the year 17,The construction lasted from the year 1701 to the year 17,72
The tour lasted from the year 1655 to the year 16,The tour lasted from the year 1601 to the year 16,55
The exchange lasted from the year 1598 to the year 15,The exchange lasted from the year 1501 to the year 15,98
The program lasted from the year 1557 to the year 15,The program lasted from the year 1501 to the year 15,57
The test lasted from the year 1474 to the year 14,The test lasted from the year 1401 to the year 14,74
The challenge lasted from the year 1419 to the year 14,The challenge lasted from the year 1401 to the year 14,19
The shift lasted from the year 1470 to the year 14,The shift lasted from the year 1401 to the year 14,70
The relationship lasted from the year 1561 to the year 15,The relationship lasted from the year 1501 to the year 15,61
The coma lasted from the year 1787 to the year 17,The coma lasted from the year 1701 to the year 17,87
The shift lasted from the year 1614 to the year 16,The shift lasted from the year 1601 to the year 16,14
The fall lasted from the year 1716 to the year 17,The fall lasted from the year 1701 to the year 17,16
The order lasted from the year 1498 to the year 14,The order lasted from the year 1401 to the year 14,98
The case lasted from the year 1462 to the year 14,The case lasted from the year 1401 to the year 14,62
The employment lasted from the year 1217 to the year 12,The employment lasted from the year 1201 to the year 12,17
The campaign lasted from the year 1450 to the year 14,The campaign lasted from the year 1401 to the year 14,50
The rule lasted from the year 1216 to the year 12,The rule lasted from the year 1201 to the year 12,16
The progress lasted from the year 1267 to the year 12,The progress lasted from the year 1201 to the year 12,67
The exchange lasted from the year 1706 to the year 17,The exchange lasted from the year 1701 to the year 17,6
The progress lasted from the year 1633 to the year 16,The progress lasted from the year 1601 to the year 16,33
The testing lasted from the year 1724 to the year 17,The testing lasted from the year 1701 to the year 17,24
The testing lasted from the year 1267 to the year 12,The testing lasted from the year 1201 to the year 12,67
The impact lasted from the year 1360 to the year 13,The impact lasted from the year 1301 to the year 13,60
The process lasted from the year 1579 to the year 15,The process lasted from the year 1501 to the year 15,79
The case lasted from the year 1459 to the year 14,The case lasted from the year 1401 to the year 14,59
The effect lasted from the year 1447 to the year 14,The effect lasted from the year 1401 to the year 14,47
The accord lasted from the year 1630 to the year 16,The accord lasted from the year 1601 to the year 16,30
The deal lasted from the year 1639 to the year 16,The deal lasted from the year 1601 to the year 16,39
The relationship lasted from the year 1677 to the year 16,The relationship lasted from the year 1601 to the year 16,77
The trip lasted from the year 1511 to the year 15,The trip lasted from the year 1501 to the year 15,11
The work lasted from the year 1652 to the year 16,The work lasted from the year 1601 to the year 16,52
The construction lasted from the year 1319 to the year 13,The construction lasted from the year 1301 to the year 13,19
The project lasted from the year 1575 to the year 15,The project lasted from the year 1501 to the year 15,75
The exchange lasted from the year 1442 to the year 14,The exchange lasted from the year 1401 to the year 14,42
The contract lasted from the year 1360 to the year 13,The contract lasted from the year 1301 to the year 13,60
The tour lasted from the year 1731 to the year 17,The tour lasted from the year 1701 to the year 17,31
The relationship lasted from the year 1486 to the year 14,The relationship lasted from the year 1401 to the year 14,86
The effect lasted from the year 1578 to the year 15,The effect lasted from the year 1501 to the year 15,78
The development lasted from the year 1413 to the year 14,The development lasted from the year 1401 to the year 14,13
The agreement lasted from the year 1762 to the year 17,The agreement lasted from the year 1701 to the year 17,62
The campaign lasted from the year 1758 to the year 17,The campaign lasted from the year 1701 to the year 17,58
The study lasted from the year 1495 to the year 14,The study lasted from the year 1401 to the year 14,95
The challenge lasted from the year 1521 to the year 15,The challenge lasted from the year 1501 to the year 15,21
The employment lasted from the year 1442 to the year 14,The employment lasted from the year 1401 to the year 14,42
The contact lasted from the year 1653 to the year 16,The contact lasted from the year 1601 to the year 16,53
The contact lasted from the year 1640 to the year 16,The contact lasted from the year 1601 to the year 16,40
The campaign lasted from the year 1669 to the year 16,The campaign lasted from the year 1601 to the year 16,69
The contact lasted from the year 1214 to the year 12,The contact lasted from the year 1201 to the year 12,14
The rise lasted from the year 1457 to the year 14,The rise lasted from the year 1401 to the year 14,57
The study lasted from the year 1455 to the year 14,The study lasted from the year 1401 to the year 14,55
The order lasted from the year 1792 to the year 17,The order lasted from the year 1701 to the year 17,92
The accord lasted from the year 1543 to the year 15,The accord lasted from the year 1501 to the year 15,43
The progress lasted from the year 1794 to the year 17,The progress lasted from the year 1701 to the year 17,94
The rise lasted from the year 1419 to the year 14,The rise lasted from the year 1401 to the year 14,19
The contract lasted from the year 1746 to the year 17,The contract lasted from the year 1701 to the year 17,46
The contact lasted from the year 1633 to the year 16,The contact lasted from the year 1601 to the year 16,33
The trip lasted from the year 1463 to the year 14,The trip lasted from the year 1401 to the year 14,63
The contract lasted from the year 1411 to the year 14,The contract lasted from the year 1401 to the year 14,11
The test lasted from the year 1578 to the year 15,The test lasted from the year 1501 to the year 15,78
The trip lasted from the year 1298 to the year 12,The trip lasted from the year 1201 to the year 12,98
The growth lasted from the year 1244 to the year 12,The growth lasted from the year 1201 to the year 12,44
The relationship lasted from the year 1532 to the year 15,The relationship lasted from the year 1501 to the year 15,32
The testing lasted from the year 1531 to the year 15,The testing lasted from the year 1501 to the year 15,31
The impact lasted from the year 1628 to the year 16,The impact lasted from the year 1601 to the year 16,28
The tests lasted from the year 1757 to the year 17,The tests lasted from the year 1701 to the year 17,57
The accord lasted from the year 1629 to the year 16,The accord lasted from the year 1601 to the year 16,29
The relationship lasted from the year 1476 to the year 14,The relationship lasted from the year 1401 to the year 14,76
The tests lasted from the year 1231 to the year 12,The tests lasted from the year 1201 to the year 12,31
The impact lasted from the year 1713 to the year 17,The impact lasted from the year 1701 to the year 17,13
The project lasted from the year 1786 to the year 17,The project lasted from the year 1701 to the year 17,86
The operation lasted from the year 1678 to the year 16,The operation lasted from the year 1601 to the year 16,78
The operation lasted from the year 1236 to the year 12,The operation lasted from the year 1201 to the year 12,36
The testing lasted from the year 1314 to the year 13,The testing lasted from the year 1301 to the year 13,14
The program lasted from the year 1492 to the year 14,The program lasted from the year 1401 to the year 14,92
The trip lasted from the year 1748 to the year 17,The trip lasted from the year 1701 to the year 17,48
The effect lasted from the year 1616 to the year 16,The effect lasted from the year 1601 to the year 16,16
The employment lasted from the year 1638 to the year 16,The employment lasted from the year 1601 to the year 16,38
The existence lasted from the year 1434 to the year 14,The existence lasted from the year 1401 to the year 14,34
The test lasted from the year 1425 to the year 14,The test lasted from the year 1401 to the year 14,25
The impact lasted from the year 1546 to the year 15,The impact lasted from the year 1501 to the year 15,46
The exchange lasted from the year 1513 to the year 15,The exchange lasted from the year 1501 to the year 15,13
The work lasted from the year 1291 to the year 12,The work lasted from the year 1201 to the year 12,91
The riot lasted from the year 1587 to the year 15,The riot lasted from the year 1501 to the year 15,87
The development lasted from the year 1705 to the year 17,The development lasted from the year 1701 to the year 17,5
The work lasted from the year 1221 to the year 12,The work lasted from the year 1201 to the year 12,21
The exchange lasted from the year 1597 to the year 15,The exchange lasted from the year 1501 to the year 15,97
The rise lasted from the year 1706 to the year 17,The rise lasted from the year 1701 to the year 17,6
The fall lasted from the year 1522 to the year 15,The fall lasted from the year 1501 to the year 15,22
The tour lasted from the year 1239 to the year 12,The tour lasted from the year 1201 to the year 12,39
The deal lasted from the year 1769 to the year 17,The deal lasted from the year 1701 to the year 17,69
The tests lasted from the year 1451 to the year 14,The tests lasted from the year 1401 to the year 14,51
The process lasted from the year 1653 to the year 16,The process lasted from the year 1601 to the year 16,53
The employment lasted from the year 1266 to the year 12,The employment lasted from the year 1201 to the year 12,66
The shift lasted from the year 1587 to the year 15,The shift lasted from the year 1501 to the year 15,87
The order lasted from the year 1282 to the year 12,The order lasted from the year 1201 to the year 12,82
The effect lasted from the year 1652 to the year 16,The effect lasted from the year 1601 to the year 16,52
The attack lasted from the year 1222 to the year 12,The attack lasted from the year 1201 to the year 12,22
The construction lasted from the year 1653 to the year 16,The construction lasted from the year 1601 to the year 16,53
The employment lasted from the year 1558 to the year 15,The employment lasted from the year 1501 to the year 15,58
The program lasted from the year 1549 to the year 15,The program lasted from the year 1501 to the year 15,49
The development lasted from the year 1293 to the year 12,The development lasted from the year 1201 to the year 12,93
The reign lasted from the year 1461 to the year 14,The reign lasted from the year 1401 to the year 14,61
The accord lasted from the year 1246 to the year 12,The accord lasted from the year 1201 to the year 12,46
The agreement lasted from the year 1652 to the year 16,The agreement lasted from the year 1601 to the year 16,52
The trip lasted from the year 1706 to the year 17,The trip lasted from the year 1701 to the year 17,6
The accord lasted from the year 1453 to the year 14,The accord lasted from the year 1401 to the year 14,53
The rise lasted from the year 1709 to the year 17,The rise lasted from the year 1701 to the year 17,9
The quest lasted from the year 1485 to the year 14,The quest lasted from the year 1401 to the year 14,85
The growth lasted from the year 1777 to the year 17,The growth lasted from the year 1701 to the year 17,77
The deal lasted from the year 1282 to the year 12,The deal lasted from the year 1201 to the year 12,82
The process lasted from the year 1707 to the year 17,The process lasted from the year 1701 to the year 17,7
The employment lasted from the year 1629 to the year 16,The employment lasted from the year 1601 to the year 16,29
The coma lasted from the year 1776 to the year 17,The coma lasted from the year 1701 to the year 17,76
The case lasted from the year 1473 to the year 14,The case lasted from the year 1401 to the year 14,73
The accord lasted from the year 1293 to the year 12,The accord lasted from the year 1201 to the year 12,93
The program lasted from the year 1239 to the year 12,The program lasted from the year 1201 to the year 12,39
The agreement lasted from the year 1523 to the year 15,The agreement lasted from the year 1501 to the year 15,23
The trip lasted from the year 1615 to the year 16,The trip lasted from the year 1601 to the year 16,15
The quest lasted from the year 1702 to the year 17,The quest lasted from the year 1701 to the year 17,2
The case lasted from the year 1748 to the year 17,The case lasted from the year 1701 to the year 17,48
The contract lasted from the year 1235 to the year 12,The contract lasted from the year 1201 to the year 12,35
The order lasted from the year 1617 to the year 16,The order lasted from the year 1601 to the year 16,17
The reign lasted from the year 1771 to the year 17,The reign lasted from the year 1701 to the year 17,71
The work lasted from the year 1632 to the year 16,The work lasted from the year 1601 to the year 16,32
The plan lasted from the year 1622 to the year 16,The plan lasted from the year 1601 to the year 16,22
The case lasted from the year 1510 to the year 15,The case lasted from the year 1501 to the year 15,10
The employment lasted from the year 1762 to the year 17,The employment lasted from the year 1701 to the year 17,62
The rise lasted from the year 1430 to the year 14,The rise lasted from the year 1401 to the year 14,30
The operation lasted from the year 1472 to the year 14,The operation lasted from the year 1401 to the year 14,72
The contract lasted from the year 1554 to the year 15,The contract lasted from the year 1501 to the year 15,54
The trip lasted from the year 1704 to the year 17,The trip lasted from the year 1701 to the year 17,4
The contact lasted from the year 1272 to the year 12,The contact lasted from the year 1201 to the year 12,72
The growth lasted from the year 1538 to the year 15,The growth lasted from the year 1501 to the year 15,38
The effect lasted from the year 1542 to the year 15,The effect lasted from the year 1501 to the year 15,42
The trial lasted from the year 1222 to the year 12,The trial lasted from the year 1201 to the year 12,22
The trip lasted from the year 1597 to the year 15,The trip lasted from the year 1501 to the year 15,97
The deal lasted from the year 1705 to the year 17,The deal lasted from the year 1701 to the year 17,5
The effect lasted from the year 1703 to the year 17,The effect lasted from the year 1701 to the year 17,3
The challenge lasted from the year 1657 to the year 16,The challenge lasted from the year 1601 to the year 16,57
The challenge lasted from the year 1762 to the year 17,The challenge lasted from the year 1701 to the year 17,62
The employment lasted from the year 1248 to the year 12,The employment lasted from the year 1201 to the year 12,48
The attack lasted from the year 1681 to the year 16,The attack lasted from the year 1601 to the year 16,81
The case lasted from the year 1704 to the year 17,The case lasted from the year 1701 to the year 17,4
The work lasted from the year 1521 to the year 15,The work lasted from the year 1501 to the year 15,21
The test lasted from the year 1284 to the year 12,The test lasted from the year 1201 to the year 12,84
The plan lasted from the year 1218 to the year 12,The plan lasted from the year 1201 to the year 12,18
The agreement lasted from the year 1591 to the year 15,The agreement lasted from the year 1501 to the year 15,91
The process lasted from the year 1261 to the year 12,The process lasted from the year 1201 to the year 12,61
The campaign lasted from the year 1516 to the year 15,The campaign lasted from the year 1501 to the year 15,16
The contact lasted from the year 1640 to the year 16,The contact lasted from the year 1601 to the year 16,40
The fall lasted from the year 1595 to the year 15,The fall lasted from the year 1501 to the year 15,95
The testing lasted from the year 1495 to the year 14,The testing lasted from the year 1401 to the year 14,95
The reign lasted from the year 1470 to the year 14,The reign lasted from the year 1401 to the year 14,70
The rule lasted from the year 1624 to the year 16,The rule lasted from the year 1601 to the year 16,24
The existence lasted from the year 1310 to the year 13,The existence lasted from the year 1301 to the year 13,10
The effect lasted from the year 1758 to the year 17,The effect lasted from the year 1701 to the year 17,58
The fall lasted from the year 1532 to the year 15,The fall lasted from the year 1501 to the year 15,32
The attack lasted from the year 1577 to the year 15,The attack lasted from the year 1501 to the year 15,77
The impact lasted from the year 1710 to the year 17,The impact lasted from the year 1701 to the year 17,10
The construction lasted from the year 1279 to the year 12,The construction lasted from the year 1201 to the year 12,79
The trial lasted from the year 1572 to the year 15,The trial lasted from the year 1501 to the year 15,72
The practice lasted from the year 1441 to the year 14,The practice lasted from the year 1401 to the year 14,41
The practice lasted from the year 1653 to the year 16,The practice lasted from the year 1601 to the year 16,53
The challenge lasted from the year 1698 to the year 16,The challenge lasted from the year 1601 to the year 16,98
The growth lasted from the year 1268 to the year 12,The growth lasted from the year 1201 to the year 12,68
The construction lasted from the year 1651 to the year 16,The construction lasted from the year 1601 to the year 16,51
The trial lasted from the year 1620 to the year 16,The trial lasted from the year 1601 to the year 16,20
The testing lasted from the year 1544 to the year 15,The testing lasted from the year 1501 to the year 15,44
The attack lasted from the year 1691 to the year 16,The attack lasted from the year 1601 to the year 16,91
The order lasted from the year 1675 to the year 16,The order lasted from the year 1601 to the year 16,75
The practice lasted from the year 1297 to the year 12,The practice lasted from the year 1201 to the year 12,97
The contract lasted from the year 1576 to the year 15,The contract lasted from the year 1501 to the year 15,76
The program lasted from the year 1277 to the year 12,The program lasted from the year 1201 to the year 12,77
The growth lasted from the year 1494 to the year 14,The growth lasted from the year 1401 to the year 14,94
The trip lasted from the year 1707 to the year 17,The trip lasted from the year 1701 to the year 17,7
The effect lasted from the year 1292 to the year 12,The effect lasted from the year 1201 to the year 12,92
The accord lasted from the year 1731 to the year 17,The accord lasted from the year 1701 to the year 17,31
The tour lasted from the year 1705 to the year 17,The tour lasted from the year 1701 to the year 17,5
The impact lasted from the year 1265 to the year 12,The impact lasted from the year 1201 to the year 12,65
The trial lasted from the year 1214 to the year 12,The trial lasted from the year 1201 to the year 12,14
The relationship lasted from the year 1265 to the year 12,The relationship lasted from the year 1201 to the year 12,65
The tour lasted from the year 1565 to the year 15,The tour lasted from the year 1501 to the year 15,65
The shift lasted from the year 1797 to the year 17,The shift lasted from the year 1701 to the year 17,97
The existence lasted from the year 1779 to the year 17,The existence lasted from the year 1701 to the year 17,79
The construction lasted from the year 1572 to the year 15,The construction lasted from the year 1501 to the year 15,72
The riot lasted from the year 1744 to the year 17,The riot lasted from the year 1701 to the year 17,44
The coma lasted from the year 1474 to the year 14,The coma lasted from the year 1401 to the year 14,74
The plan lasted from the year 1416 to the year 14,The plan lasted from the year 1401 to the year 14,16
The accord lasted from the year 1315 to the year 13,The accord lasted from the year 1301 to the year 13,15
The practice lasted from the year 1622 to the year 16,The practice lasted from the year 1601 to the year 16,22
The employment lasted from the year 1456 to the year 14,The employment lasted from the year 1401 to the year 14,56
The relationship lasted from the year 1278 to the year 12,The relationship lasted from the year 1201 to the year 12,78
The process lasted from the year 1637 to the year 16,The process lasted from the year 1601 to the year 16,37
The contract lasted from the year 1440 to the year 14,The contract lasted from the year 1401 to the year 14,40
The attack lasted from the year 1712 to the year 17,The attack lasted from the year 1701 to the year 17,12
The shift lasted from the year 1789 to the year 17,The shift lasted from the year 1701 to the year 17,89
The trial lasted from the year 1532 to the year 15,The trial lasted from the year 1501 to the year 15,32
The testing lasted from the year 1680 to the year 16,The testing lasted from the year 1601 to the year 16,80
The growth lasted from the year 1537 to the year 15,The growth lasted from the year 1501 to the year 15,37
The agreement lasted from the year 1548 to the year 15,The agreement lasted from the year 1501 to the year 15,48
The riot lasted from the year 1228 to the year 12,The riot lasted from the year 1201 to the year 12,28
The progress lasted from the year 1423 to the year 14,The progress lasted from the year 1401 to the year 14,23
